m,x,y,z,vx,vy,vz
9.999999999999999547e-08,-2.743077229707804321e+00,9.691641742725686015e+00,-2.894680072402383009e-01,-1.904325993296184460e+00,-5.391896921291539080e-01,-1.111626279853257689e-02
9.999999999999999547e-08,-4.603124797128724799e-01,7.906809393042504852e-02,-2.337108270581295805e-02,-1.555618814904420111e+00,-9.044791676971588146e+00,-3.742030009626435838e-01
9.999999999999999547e-08,-3.982811823179559951e+01,6.791437430478101334e+00,-2.815769808846132261e+00,-2.260198549024780568e-01,-9.455868292213752691e-01,3.791319863355100545e-02
9.999999999999999547e-08,-2.732293618017116543e+01,1.767221126000668363e+01,-1.925268771141957769e-01,-5.717676509155996678e-01,-9.555307264198955597e-01,-5.232006644698446521e-03
9.999999999999999547e-08,1.334520687439395736e+01,-3.474481605644459847e+01,1.475222612259503130e+00,9.058482724336840430e-01,4.185678847619641596e-01,7.186248193141163421e-02
9.999999999999999547e-08,2.345316033012593593e+01,3.190256655521332618e+01,-9.563960668358374717e-02,-7.927319874516984832e-01,5.956914087590954310e-01,2.830106575477257195e-03
9.999999999999999547e-08,1.416940124862886918e+01,1.803705888335008467e+01,1.998906609735290774e+00,-1.031227352936640029e+00,8.052966433948745006e-01,2.973227998250596929e-02
9.999999999999999547e-08,-2.525640427758449746e+01,1.417803068565312685e+01,-2.800023203514163672e+00,-5.972071306912973832e-01,-9.850586930986298118e-01,1.385796149809996949e-02
9.999999999999999547e-08,1.695782377780720385e+00,-6.494188238371508604e+00,-2.369837457862130070e-01,2.362717597522195234e+00,7.588971928415794155e-01,-1.357889846932620048e-01
9.999999999999999547e-08,5.642519596503299262e+00,1.392111412772054635e+00,-5.703920188442935801e-01,-8.645379498052151446e-01,2.446262632474112131e+00,-3.179842304025220362e-03
9.999999999999999547e-08,2.299233008535039957e+01,2.073348052283759557e+01,-1.280882102498790864e+00,-7.405236223870181878e-01,9.012840319784715115e-01,-8.523534586956246772e-02
9.999999999999999547e-08,1.447075520151934924e+01,-1.726713527682263560e+01,-1.303487155923069990e-02,1.051257930642073735e+00,8.527398642619026248e-01,5.940775735893775306e-03
9.999999999999999547e-08,-2.456665845739543030e+01,8.657684875023266002e+00,-8.006649356943194851e-03,-4.440744401130239383e-01,-1.199693469199637041e+00,-2.944920041329580668e-04
9.999999999999999547e-08,1.530964553435584818e+01,-3.478849821969863854e+01,-6.912520895531244769e-03,9.365270328162293989e-01,4.108011015119847342e-01,-2.119191042552984877e-03
9.999999999999999547e-08,3.236385367925370105e+01,-8.866792336004969854e+00,1.506725576812445455e+00,2.795746994734399360e-01,1.014799730742472539e+00,-5.588513721574842226e-03
