# t_yr,a_AU,e,n_radyr,RL1_AU,RL2_AU,Ls1,Ls2,Jorb,Jtot,Omega1,Omega2,MB_saturated(super=1),super_synchronous(1),da_dt_AU_per_yr
2.846410684474123627e+03,6.872923550721092567e-02,9.264965876649518262e-02,4.931540413075488800e+02,2.604291754628482863e-02,2.604291754628482863e-02,4.995000118790804270e-05,4.972279462187260409e-05,1.159747907968720071e+00,1.159847580764529873e+00,2.309629512144991281e+01,2.299123746823896752e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.941887513969710193e-07
2.854757929883138786e+03,6.872510840739730342e-02,9.262684740641013992e-02,4.931984645151989639e+02,2.604135370348403811e-02,2.604135370348403811e-02,4.987693101792572601e-05,4.965071560673860738e-05,1.159715558708221295e+00,1.159815086354845981e+00,2.306250833125270816e+01,2.295790897642701367e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.944265576719374383e-07
2.863105175292153945e+03,6.872097538095825464e-02,9.260370175450095831e-02,4.932429581999233505e+02,2.603978761496327649e-02,2.603978761496327649e-02,4.980417758633897134e-05,4.957894618511768836e-05,1.159683193843659144e+00,1.159782576967430590e+00,2.302886799717734689e+01,2.292472363702698601e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.951365673980360413e-07
2.871452420701168649e+03,6.871684390343085758e-02,9.258068104791178365e-02,4.932874418965992049e+02,2.603822211335691736e-02,2.603822211335691736e-02,4.973174059303903170e-05,4.950748610199199099e-05,1.159650826686889680e+00,1.159750065913584649e+00,2.299537398045706382e+01,2.289168133212161393e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.949510077821874616e-07
2.879799666110183807e+03,6.871271420295581300e-02,9.255796150184213145e-02,4.933319131421645807e+02,2.603665728511216082e-02,2.603665728511216082e-02,4.965962205635300191e-05,4.943633738934531549e-05,1.159618440098695080e+00,1.159717536058140652e+00,2.296202721434265470e+01,2.285878300127639662e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.947381169103319213e-07
2.888146911519198966e+03,6.870857575682713658e-02,9.253478037489615282e-02,4.933764852701571613e+02,2.603508914295979415e-02,2.603508914295979415e-02,4.958781508579332534e-05,4.936549328968839972e-05,1.159586027863356072e+00,1.159684981171731355e+00,2.292882451275342959e+01,2.282602551990749618e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.957858462154272532e-07
2.896494156928213670e+03,6.870444231456973583e-02,9.251194602790127619e-02,4.934210102051633839e+02,2.603352289687692334e-02,2.603352289687692334e-02,4.951631898565038523e-05,4.929495315627795783e-05,1.159553618496454330e+00,1.159652429768596393e+00,2.289576555400141444e+01,2.279340858896839350e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.951863824366294773e-07
2.904841402337228828e+03,6.870030143642340270e-02,9.248883239134417233e-02,4.934656219540911479e+02,2.603195383318316139e-02,2.603195383318316139e-02,4.944513121408666611e-05,4.922471452046375308e-05,1.159521174775490548e+00,1.159619844621225138e+00,2.286284916277073620e+01,2.276093106698415625e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.960772019307006287e-07
2.913188647746243987e+03,6.869616578287719710e-02,9.246611090765811947e-02,4.935101841259595403e+02,2.603038674919759543e-02,2.603038674919759543e-02,4.937425004125047315e-05,4.915477571415771381e-05,1.159488730905687159e+00,1.159587259931442516e+00,2.283007453919824670e+01,2.272859218265041292e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.954512948354226551e-07
2.921535893155258691e+03,6.869202155667927800e-02,9.244288189886440410e-02,4.935548453974130894e+02,2.602881641685839131e-02,2.602881641685839131e-02,4.930367044165284989e-05,4.908513181675996955e-05,1.159456267746629354e+00,1.159554656548887674e+00,2.279743935955674772e+01,2.269638966073944886e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.964782985107270681e-07
